name,real_name,first_appearance,powers,popularity_score,power_level,notable_feat,why_underdog,powers_note
U.S.Agent,John Walker,"Captain America #323 (1986, as Super-Patriot)","[""Superhuman strength"",""Durability"",""Vibranium-alloy shield""]",4,7,Briefly served as Captain America before forging his own identity,Constantly compared to Captain America rather than judged on his own merits,
Stature,Cassie Lang,"Young Avengers #1 (2005, as Stature; Cassie Lang appeared earlier as a child in Marvel Premiere #47, 1979)","[""Size-shifting"",""Superhuman strength at large size""]",3,6,A core member of the Young Avengers with a strong legacy-hero arc,Overshadowed by her father Ant-Man despite a compelling story of her own,
Speedball,Robbie Baldwin,"Amazing Spider-Man Annual #22 (1988) — VERIFY, uncertain","[""Kinetic energy absorption and release"",""Bouncing/impact resistance""]",3,5,Underwent a dramatic transformation into the darker hero Penance,"A key figure in Marvel's Civil War storyline, but rarely remembered outside it",
Darkstar,Laynia Petrovna,The Champions #7 (1976),"[""Darkforce manipulation"",""Flight"",""Teleportation""]",1,6,"A founding member of Soviet Super-Soldiers, one of Marvel's few Cold War-era heroes","Rarely used since her original era, despite a unique power set and origin",
Silverclaw,Maria de Guadalupe Santiago,Avengers Vol. 3 #4 (1998),"[""Shapeshifting"",""Superhuman strength"",""Elemental abilities""]",1,5,A Young Avengers-adjacent hero with roots in South American mythology,"One of the most obscure heroes with an interesting cultural background, rarely explored",
Gravity,Greg Willis,Gravity #1 (2005),"[""Gravity manipulation"",""Flight"",""Force field generation""]",1,6,Created specifically as a modern homage to classic Silver Age heroes,"Designed to be an underdog hero from the start, yet still barely appears in modern comics",
Elsa Bloodstone,Elsa Bloodstone,Bloodstone #1 (2001),"[""Enhanced strength"",""Regeneration"",""Monster-hunting expertise""]",3,6,A monster hunter with a cult following through Nextwave and Marvel Zombies,Beloved by a niche fanbase but rarely appears in mainstream storylines or adaptations,
Daredevil,Matt Murdock,Daredevil #1 (1964),"[""Radar sense"",""Enhanced remaining senses"",""Peak human agility""]",7,5,Runs Hell's Kitchen as a blind lawyer by day and vigilante by night,Beloved by fans but consistently overshadowed by cosmic-scale Marvel heroes,
Iron Fist,Danny Rand,Marvel Premiere #15 (1974),"[""Chi manipulation"",""Superhuman martial arts mastery"",""The Iron Fist energy strike""]",5,6,Defeated the dragon Shou-Lao to earn his signature power,Often criticized or overlooked despite a rich mystical martial arts mythology,
Luke Cage,Carl Lucas,Hero for Hire #1 (1972),"[""Unbreakable skin"",""Superhuman strength"",""Rapid healing""]",6,6,Marvel's first Black superhero to headline his own ongoing series,A foundational hero whose historical importance is often undercredited,
Mockingbird,Bobbi Morse,"Astonishing Tales #6 (1971, unnamed); named Mockingbird in Marvel Two-in-One Annual #7 (1982) — VERIFY","[""Peak human combat skills"",""Expert espionage and tactics""]",3,4,A former S.H.I.E.L.D. agent and skilled Avengers-level tactician,Frequently defined by her relationship to Hawkeye rather than her own career,
Falcon,Sam Wilson,Captain America #117 (1969),"[""Flight via wing pack"",""Telepathic link with birds"",""Combat training""]",6,5,"Marvel's first mainstream African American superhero, later became Captain America","Took decades to get mainstream recognition despite a long, significant history",
War Machine,James Rhodes,"Iron Man #118 (1979, as James Rhodes); as War Machine in Iron Man #282 (1992)","[""Powered armor suit"",""Heavy weaponry"",""Flight""]",5,7,Piloted a heavily armed variant of the Iron Man suit into major conflicts,Constantly living in Iron Man's shadow despite his own distinct arsenal and story,
Vision,Vision,The Avengers #57 (1968),"[""Density manipulation"",""Solar energy blasts"",""Flight"",""Superhuman durability""]",5,8,An android Avenger capable of phasing through solid matter,A powerful and philosophically rich character who rarely leads his own stories,
Quicksilver,Pietro Maximoff,X-Men #4 (1964),"[""Superhuman speed"",""Rapid reflexes""]",5,6,"One of Marvel's fastest characters, rivaling speedsters from other universes",Frequently defined by his relationship to Scarlet Witch rather than his own arcs,
Beast,Hank McCoy,X-Men #1 (1963),"[""Superhuman strength and agility"",""Genius-level intellect"",""Enhanced senses""]",4,6,A founding X-Man and one of Marvel's leading scientific minds,A founding member of the X-Men who rarely gets top billing in adaptations,
Cannonball,Sam Guthrie,The New Mutants #1 (1983),"[""Propulsive flight blasts"",""Near invulnerability while blasting""]",2,6,Led multiple young mutant teams including the New Mutants,A longtime team leader who rarely gets solo recognition,
Sunspot,Roberto da Costa,The New Mutants #1 (1983),"[""Solar energy absorption"",""Superhuman strength""]",2,6,Rose from New Mutant to head of the Hellfire Club and Avengers benefactor,A rare wealthy mutant leader whose business/hero double life is rarely explored,
Rocket Raccoon,Rocket,Marvel Preview #7 (1976),"[""Genius-level engineering"",""Enhanced senses"",""Weapons expertise""]",6,5,A genetically engineered creature who became a galaxy-saving weapons expert,"Gained popularity mainly through film, with decades of comic history overlooked",
Groot,Groot,Tales to Astonish #13 (1960),"[""Regeneration"",""Body manipulation"",""Superhuman strength""]",6,7,"One of Marvel's oldest characters, predating most major superheroes",Existed since 1960 as an obscure monster character before mainstream fame,
Adam Warlock,Adam Warlock,"Fantastic Four #66 (1967, as 'Him')","[""Cosmic energy manipulation"",""Soul Gem access"",""Flight""]",3,9,"One of the most powerful cosmic beings in Marvel, tied to the Infinity Gems","Despite immense power, rarely appears outside cosmic-focused storylines",
Silver Surfer,Norrin Radd,Fantastic Four #48 (1966),"[""Power Cosmic"",""Flight"",""Energy manipulation""]",4,10,"Wields the Power Cosmic, one of the strongest forces in the Marvel Universe","One of Marvel's most powerful beings, yet rarely central to major crossover events",
Blade,Eric Brooks,Tomb of Dracula #10 (1973),"[""Vampire-human hybrid physiology"",""Enhanced strength and senses"",""Immunity to vampirism""]",5,6,"Has hunted vampires for decades, predating Marvel's mainstream horror boom",Rarely integrated into mainstream Avengers-level storylines despite iconic status,
Iron Man 2020,Arno Stark,Machine Man #1 (1984 miniseries) — VERIFY,"[""Advanced Iron Man armor"",""Genius-level engineering""]",1,7,An alternate Stark family armored hero from a dystopian future concept,A niche variant character almost entirely unknown outside dedicated readers,
Firestar,Angelica Jones,"Uncanny X-Men #193 (1985) — VERIFY, debuted in animation first","[""Microwave radiation projection"",""Flight""]",3,6,A founding member of the New Warriors and an Avenger,"Best known from a 1980s cartoon, often overlooked in modern comics",
Justice,Vance Astrovik,Marvel Team-Up #106 (1981),"[""Telekinesis"",""Flight""]",1,6,A founding New Warrior with strong telekinetic combat feats,Rarely appears outside team books despite consistent long-term presence,
Triathlon,Delroy Garrett Jr.,The Avengers Vol. 3 #10 (1998),"[""Tripled physical attributes"",""Superhuman strength, speed, and stamina""]",1,5,Joined the Avengers as part of a diversity-focused roster expansion,One of the most obscure former Avengers members in modern comics,
Wiccan,Billy Kaplan,Young Avengers #1 (2005),"[""Reality-altering magic"",""Flight"",""Energy projection""]",3,8,"A Young Avenger with power potentially rivaling his namesake, Scarlet Witch",Immense power potential largely unexplored outside Young Avengers stories,
Hulkling,Teddy Altman,Young Avengers #1 (2005),"[""Shapeshifting"",""Superhuman strength"",""Rapid healing""]",3,7,A hybrid Kree-Skrull heir with major galactic political significance,Ties to major cosmic bloodlines rarely explored outside niche team books,
Patriot,Eli Bradley,Young Avengers #1 (2005),"[""Superhuman strength and durability (temporary, later permanent)""]",1,5,Grandson of the original Black super-soldier Isaiah Bradley,Carries a historically important legacy that's rarely spotlighted,
Songbird,Melissa Gold,"Captain America #232 (1979, as Screaming Mimi)","[""Sonic energy constructs"",""Flight""]",1,5,A reformed villain who became a leader within the Thunderbolts,A compelling redemption arc largely unknown outside Thunderbolts readers,
Ms. Marvel,Kamala Khan,Captain Marvel Vol. 7 #14 (2013); own title Ms. Marvel #1 (2014),"[""Polymorph shapeshifting"",""Elasticity"",""Enhanced healing""]",5,6,Marvel's first Muslim American character to headline her own series,"Despite critical acclaim, took years to reach the mainstream audience she deserved",
Spider-Woman,Jessica Drew,Marvel Spotlight #32 (1977),"[""Wall-crawling"",""Venom blasts"",""Enhanced strength and agility""]",4,6,Predates Spider-Gwen and other spider-themed heroes by decades,Frequently confused with or overshadowed by newer spider-themed characters,
Black Knight,Dane Whitman,"The Avengers #47 (1967, as Dane Whitman)","[""Ebony Blade mastery"",""Peak human combat skill""]",3,6,Wields a cursed sword capable of cutting through nearly anything,A longtime Avenger whose mystical weapon storyline rarely takes center stage,
Living Lightning,Miguel Santos,West Coast Avengers #1 (1985) — VERIFY,"[""Living electricity form"",""Flight"",""Energy projection""]",1,6,Served on multiple Avengers rosters as a fully energy-based being,A unique energy-based hero with almost no mainstream visibility,
Blue Marvel,Adam Brashear,Adam: Legend of the Blue Marvel #1 (2008),"[""Antimatter manipulation"",""Superhuman strength"",""Flight""]",1,10,"One of the most powerful heroes in Marvel, hidden from the public for decades","Deliberately written as historically overlooked in-universe, mirrored by his real-world obscurity",
Captain Britain,Brian Braddock,"Captain Britain Weekly #1 (1976, UK)","[""Superhuman strength"",""Durability"",""Flight""]",2,7,Protector of the entire multiverse in his role tied to the Captain Britain Corps,A multiversally important hero with minimal recognition outside UK-focused stories,
